card_name,player_name,grade,target_resale_value,exclude_keywords,allow_numbered_parallel,last_checked,source,notes
2018 Prizm Luka Doncic Rookie PSA 9,Luka Doncic,PSA 9,210.00,Freshman Phenoms,,2026-08-14,130point,Checked recent sold comps - stable. Added Freshman Phenoms exclude after a real mismatch on 2026-08-15.
2003 Topps Chrome LeBron James Rookie PSA 8,LeBron James,PSA 8,520.00,,,2026-08-14,130point,Older card - fewer recent sales to compare
2020 Prizm Justin Herbert Rookie PSA 10,Justin Herbert,PSA 10,115.00,,,2026-08-14,130point,
2021 Bowman Chrome Wander Franco Auto PSA 9,Wander Franco,PSA 9,58.00,,,2026-08-14,130point,Value fell after 2023 news - do not overpay
2022 Bowman Chrome Julio Rodriguez Rookie Auto PSA 10,Julio Rodriguez,PSA 10,280.00,,,2026-08-14,130point,
2021 Panini Mosaic Ja Morant PSA 10,Ja Morant,PSA 10,310.00,"Bang!,Elevate,Epic Performers,Introductions,Jam Masters,Moments in Time,Montage,Overdrive,Rising Stars,Rookie Eruption,Stained Glass,Stare Masters,Starting 5,Straight Fire,Swagger,Thunder Lane,Translucence,Autographs,Rookie Scripts,Scripts,Case Hit,Genesis",,2026-08-15,130point + cardboardconnection.com full checklist,"Full 2021-22 Mosaic insert-set list. Genesis is a rare low-pop Mosaic parallel (~200-300 print run, PSA10 Morant rookies reportedly $2000+) -- excluded because $310 is the wrong price for it, not because it's worthless. Worth a manual look if one shows up."
1986-87 Fleer Michael Jordan Rookie PSA 9,Michael Jordan,PSA 9,42524.23,,,2026-08-15,cardladder sold comps,[NBA] All-time evergreen demand. PSA10 pop near-zero/impractical price. High value -- always double-check before buying.
2003-04 Topps LeBron James Rookie PSA 9,LeBron James,PSA 9,1827.50,,,2026-08-15,sportscardspro price guide,"[NBA] Signed with 76ers in 2026 free agency, huge current buzz. Different card/grade than your existing LeBron 2003 Topps Chrome PSA 8 row -- both are fine to keep."
1996-97 Topps Chrome Kobe Bryant Rookie PSA 9,Kobe Bryant,PSA 9,4073.50,,,2026-08-15,sportscardspro price guide,"[NBA] Deceased legend, evergreen vintage demand. High value -- always double-check before buying."
2023-24 Panini Prizm Victor Wembanyama Rookie PSA 10,Victor Wembanyama,PSA 10,347.00,,,2026-08-15,sportscardspro price guide,"[NBA] Unanimous 2025-26 DPOY, 2026-27 MVP betting favorite."
2015-16 Panini Prizm Nikola Jokic Rookie PSA 10,Nikola Jokic,PSA 10,870.00,,,2026-08-15,sportscardspro price guide,[NBA] Perennial MVP-tier Nuggets superstar.
2018-19 Panini Prizm Shai Gilgeous-Alexander Rookie PSA 10,Shai Gilgeous-Alexander,PSA 10,232.79,,,2026-08-15,sportscardspro price guide,[NBA] Reigning 2025-26 NBA MVP.
2018-19 Panini Prizm Luka Doncic Rookie PSA 10,Luka Doncic,PSA 10,208.25,Freshman Phenoms,,2026-08-15,sportscardspro price guide,[NBA] Same product family as your existing Luka PSA 9 row -- reuses its exclude list (Freshman Phenoms) below.
2013-14 Panini Prizm Giannis Antetokounmpo Rookie PSA 9,Giannis Antetokounmpo,PSA 9,2871.00,,,2026-08-15,sportscardspro price guide,"[NBA] Bucks superstar, evergreen demand."
2020-21 Panini Prizm Anthony Edwards Rookie PSA 10,Anthony Edwards,PSA 10,130.00,,,2026-08-15,sportscardspro price guide,[NBA] Timberwolves face-of-league rising star.
2009-10 Panini Stephen Curry Rookie PSA 9,Stephen Curry,PSA 9,425.00,,,2026-08-15,sportscardspro price guide,"[NBA] All-time great, evergreen demand."
2007-08 Topps Chrome Kevin Durant Rookie PSA 10,Kevin Durant,PSA 10,861.00,,,2026-08-15,sportscardspro price guide,"[NBA] Consistently liquid, future HOF."
2017-18 Panini Prizm Jayson Tatum Rookie PSA 10,Jayson Tatum,PSA 10,90.35,,,2026-08-15,sportscardspro price guide,"[NBA] Celtics star, 2026 Achilles comeback storyline."
2021-22 Panini Prizm Cade Cunningham Rookie PSA 10,Cade Cunningham,PSA 10,94.00,,,2026-08-15,sportscardspro price guide,"[NBA] Pistons breakout, current MVP-candidate buzz."
2025-26 Topps Chrome Cooper Flagg Rookie PSA 10,Cooper Flagg,PSA 10,299.00,,,2026-08-15,cardladder sold comps,"[NBA] 2025-26 Rookie of the Year, #1 pick Mavericks."
2025-26 Topps Chrome Dylan Harper Rookie PSA 10,Dylan Harper,PSA 10,260.00,,,2026-08-15,sportscardspro price guide,"[NBA] Spurs rookie, hot 2025 draft class."
2025-26 Topps Chrome VJ Edgecombe Rookie PSA 10,VJ Edgecombe,PSA 10,709.99,,,2026-08-15,sportscardspro price guide,"[NBA] Sixers rookie breakout, priciest of 2025 rookie class."
2025-26 Topps Chrome Kon Knueppel Rookie PSA 10,Kon Knueppel,PSA 10,113.50,,,2026-08-15,sportscardspro price guide,[NBA] Hornets rookie riser.
2025-26 Topps Chrome Ace Bailey Rookie PSA 10,Ace Bailey,PSA 10,61.24,,,2026-08-15,sportscardspro price guide,"[NBA] Jazz rookie, ROY-race secondary chase card."
2015-16 Panini Prizm Devin Booker Rookie PSA 10,Devin Booker,PSA 10,102.50,,,2026-08-15,sportscardspro price guide,"[NBA] Suns star, steady consistent demand."
2022-23 Panini Prizm Paolo Banchero Rookie PSA 10,Paolo Banchero,PSA 10,40.95,,,2026-08-15,sportscardspro price guide,"[NBA] Magic young star, steady demand."
2017 Panini Prizm Patrick Mahomes Rookie PSA 9,Patrick Mahomes,PSA 9,1466.67,,,2026-08-15,sportscardspro price guide,[NFL] All-time hobby cornerstone. High value -- always double-check before buying.
2018 Panini Prizm Josh Allen Rookie PSA 10,Josh Allen,PSA 10,500.00,,,2026-08-15,sportscardspro price guide,[NFL] Perennial MVP-caliber QB.
2020 Panini Prizm Justin Jefferson Rookie PSA 10,Justin Jefferson,PSA 10,90.00,,,2026-08-15,sportscardspro price guide,"[NFL] Top-tier WR, always liquid."
2021 Panini Prizm Ja'Marr Chase Rookie PSA 10,Ja'Marr Chase,PSA 10,57.88,,,2026-08-15,sportscardspro price guide,"[NFL] All-Pro WR, Bengals."
2020 Panini Prizm CeeDee Lamb Rookie PSA 10,CeeDee Lamb,PSA 10,61.78,,,2026-08-15,sportscardspro price guide,"[NFL] Cowboys star, high recognition."
2021 Panini Prizm Micah Parsons Rookie PSA 10,Micah Parsons,PSA 10,45.00,,,2026-08-15,sportscardspro price guide,"[NFL] Aug 2025 trade to Packers, DPOY case."
2020 Panini Prizm Justin Herbert Rookie PSA 10,Justin Herbert,PSA 10,65.00,,,2026-08-15,sportscardspro price guide,"[NFL] Franchise QB. You already track a separate Herbert row -- kept both, harmless."
2009 Topps Matthew Stafford Rookie PSA 10,Matthew Stafford,PSA 10,227.50,,,2026-08-15,sportscardspro price guide,[NFL] 2025 AP NFL MVP at age 37.
2022 Panini Prizm Kenneth Walker III Rookie PSA 10,Kenneth Walker III,PSA 10,39.75,,,2026-08-15,sportscardspro price guide,[NFL] Super Bowl LX MVP for Seahawks.
2023 Panini Prizm Puka Nacua Rookie PSA 10,Puka Nacua,PSA 10,59.95,,,2026-08-15,sportscardspro price guide,"[NFL] 2025 first-team All-Pro WR, Rams."
2023 Panini Prizm Jaxon Smith-Njigba Rookie PSA 10,Jaxon Smith-Njigba,PSA 10,127.75,,,2026-08-15,sportscardspro price guide,"[NFL] 2025 first-team All-Pro breakout, Seahawks."
2022 Panini Prizm Trey McBride Rookie PSA 10,Trey McBride,PSA 10,85.00,,,2026-08-15,sportscardspro price guide,"[NFL] 2025 first-team All-Pro TE breakout, Cardinals."
2023 Panini Prizm Bijan Robinson Rookie PSA 10,Bijan Robinson,PSA 10,63.98,,,2026-08-15,sportscardspro price guide,"[NFL] 2025 first-team All-Pro RB, Falcons."
2024 Panini Prizm Marvin Harrison Jr Rookie PSA 10,Marvin Harrison Jr.,PSA 10,30.00,,,2026-08-15,sportscardspro price guide,"[NFL] High-pedigree Cardinals WR, year-2 riser."
2024 Panini Prizm Brock Bowers Rookie PSA 10,Brock Bowers,PSA 10,45.00,,,2026-08-15,sportscardspro price guide,"[NFL] Record-setting rookie TE, Raiders."
2024 Panini Prizm Jayden Daniels Rookie PSA 10,Jayden Daniels,PSA 10,76.35,,,2026-08-15,sportscardspro price guide,"[NFL] 2024 Offensive Rookie of the Year, Commanders."
2024 Panini Prizm Drake Maye Rookie PSA 10,Drake Maye,PSA 10,150.72,,,2026-08-15,sportscardspro price guide,"[NFL] 2025 NFL MVP runner-up, led Patriots to Super Bowl LX."
2025 Panini Prizm Travis Hunter Rookie PSA 10,Travis Hunter,PSA 10,69.44,,,2026-08-15,sportscardspro price guide,"[NFL] Heisman winner, two-way star for Jaguars."
2025 Panini Prizm Ashton Jeanty Rookie PSA 10,Ashton Jeanty,PSA 10,46.50,,,2026-08-15,sportscardspro price guide,"[NFL] First-round RB, rookie-season hype."
2025 Panini Prizm Cam Ward Rookie PSA 10,Cam Ward,PSA 10,88.00,,,2026-08-15,sportscardspro price guide,"[NFL] #1 overall pick 2025, franchise QB Titans."
2018 Topps Chrome Update Shohei Ohtani Rookie PSA 10,Shohei Ohtani,PSA 10,941.28,,,2026-08-15,sportscardspro price guide,"[MLB] Two-way superstar, most anticipated cards in the hobby."
2017 Topps Chrome Aaron Judge Rookie PSA 10,Aaron Judge,PSA 10,468.87,,,2026-08-15,sportscardspro price guide,"[MLB] AL All-Star, elite production continues."
2018 Bowman Chrome Prospects Juan Soto Rookie PSA 10,Juan Soto,PSA 10,33.22,,,2026-08-15,sportscardspro price guide,"[MLB] Mets superstar, perennial elite bat."
2020 Bowman Chrome Prospects Bobby Witt Jr Rookie Auto PSA 10,Bobby Witt Jr.,PSA 10,2437.50,,,2026-08-15,sportscardspro price guide,"[MLB] Royals SS, AL MVP-caliber. High value -- always double-check before buying."
2023 Bowman Draft Chrome Paul Skenes Rookie Auto PSA 10,Paul Skenes,PSA 10,2179.44,,,2026-08-15,sportscardspro price guide,[MLB] Reigning NL Cy Young. High value -- always double-check before buying.
2019 Bowman Chrome Prospect Cal Raleigh Rookie Auto PSA 10,Cal Raleigh,PSA 10,495.22,,,2026-08-15,sportscardspro price guide,[MLB] 2025 Home Run Derby champ.
2020 Bowman Chrome Prospect Tarik Skubal Rookie Auto PSA 10,Tarik Skubal,PSA 10,1650.00,,,2026-08-15,sportscardspro price guide (estimate -- verify before relying on this),"[MLB] Traded to Dodgers at 2026 deadline, Cy Young caliber arm."
2022 Bowman Draft Chrome Jacob Misiorowski Rookie Auto PSA 10,Jacob Misiorowski,PSA 10,1899.00,,,2026-08-15,sportscardspro price guide,[MLB] Current NL Cy Young odds leader.
2025 Bowman Chrome Prospect Cam Schlittler Rookie Auto PSA 10,Cam Schlittler,PSA 10,1433.25,,,2026-08-15,sportscardspro price guide,"[MLB] Historic strikeout/ERA pace, breakout Yankees ace."
2020 Bowman Draft Chrome Pete Crow-Armstrong Rookie Auto PSA 10,Pete Crow-Armstrong,PSA 10,1150.00,,,2026-08-15,web search estimate (verify before relying on this),"[MLB] Cubs CF, NL MVP candidate."
2022 Bowman Chrome Prospect James Wood Rookie Auto PSA 10,James Wood,PSA 10,895.00,,,2026-08-15,sportscardspro price guide,"[MLB] Nationals slugger, NL MVP candidate."
2018 Bowman Chrome Prospect Yordan Alvarez Rookie Auto PSA 10,Yordan Alvarez,PSA 10,950.00,,,2026-08-15,sportscardspro price guide,[MLB] AL MVP poll leader for Astros.
2023 Bowman Chrome Prospect Junior Caminero Rookie Auto PSA 10,Junior Caminero,PSA 10,970.06,,,2026-08-15,sportscardspro price guide,"[MLB] Rays 3B, AL MVP candidate."
2019 Bowman Draft Chrome Adley Rutschman Rookie Auto PSA 10,Adley Rutschman,PSA 10,250.00,,,2026-08-15,sportscardspro price guide,"[MLB] Traded to Red Sox at deadline, price up 12% overnight."
2023 Bowman Chrome Prospect Roman Anthony Rookie Auto PSA 10,Roman Anthony,PSA 10,1312.69,,,2026-08-15,sportscardspro price guide,"[MLB] Red Sox OF, base rookies reportedly flipping 2-3x box cost. High value -- always double-check before buying."
2025 Bowman Chrome Prospect Kevin McGonigle Rookie Auto PSA 10,Kevin McGonigle,PSA 10,860.60,,,2026-08-15,sportscardspro price guide,"[MLB] Tigers rookie, AL ROY/MVP-caliber season."
2025 Bowman Chrome Prospect JJ Wetherholt Rookie Auto PSA 10,JJ Wetherholt,PSA 10,510.00,,,2026-08-15,sportscardspro price guide,"[MLB] Cardinals rookie, co-leads NL Rookie of the Year race."
2025 Bowman Chrome Prospect Jonah Tong Rookie Auto PSA 10,Jonah Tong,PSA 10,242.96,,,2026-08-15,sportscardspro price guide,[MLB] Mets rookie sensation.
2026 Topps Series 2 Munetaka Murakami Rookie PSA 10,Munetaka Murakami,PSA 10,37.50,,,2026-08-15,sportscardspro price guide,"[MLB] White Sox NPB import, led AL rookies with 24 HR."
2026 Topps Series 2 Kazuma Okamoto Rookie PSA 10,Kazuma Okamoto,PSA 10,35.77,,,2026-08-15,sportscardspro price guide,"[MLB] Blue Jays NPB import, co-leads AL rookies with 24 HR."
2015-16 Upper Deck Young Guns Connor McDavid Rookie PSA 10,Connor McDavid,PSA 10,3120.00,,,2026-08-15,cardladder.com sold comps,"[NHL] All-time superstar, cards always move. High value -- always double-check before buying."
2005-06 Upper Deck Young Guns Sidney Crosby Rookie PSA 10,Sidney Crosby,PSA 10,4987.00,,,2026-08-15,cardladder.com sold comps,[NHL] Most iconic modern hockey RC. High value -- always double-check before buying.
2023-24 Upper Deck Young Guns Connor Bedard Rookie PSA 10,Connor Bedard,PSA 10,680.00,,,2026-08-15,cardladder.com sold comps,[NHL] Top current young superstar.
2025-26 Upper Deck Young Guns Matthew Schaefer Rookie PSA 10,Matthew Schaefer,PSA 10,600.00,,,2026-08-15,web search estimate (verify before relying on this),"[NHL] 2026 Calder Trophy winner, record rookie D season."
2024-25 Upper Deck Young Guns Macklin Celebrini Rookie PSA 10,Macklin Celebrini,PSA 10,450.00,,,2026-08-15,web search estimate (verify before relying on this),[NHL] Breakout MVP-caliber sophomore season.
2024-25 Upper Deck Young Guns Matvei Michkov Rookie PSA 10,Matvei Michkov,PSA 10,425.00,,,2026-08-15,pregradecards.com price range,"[NHL] Russian sensation, Flyers."
2016-17 Upper Deck Young Guns Auston Matthews Rookie PSA 10,Auston Matthews,PSA 10,795.00,,,2026-08-15,cardladder.com sold comps,[NHL] Established superstar.
2013-14 Upper Deck Young Guns Nikita Kucherov Rookie PSA 10,Nikita Kucherov,PSA 10,860.00,,,2026-08-15,cardladder.com sold comps,[NHL] Elite established scorer.
2014-15 Upper Deck Young Guns Leon Draisaitl Rookie PSA 10,Leon Draisaitl,PSA 10,713.64,,,2026-08-15,cardladder.com sold comps,[NHL] Established superstar.
2019-20 Upper Deck Young Guns Cale Makar Rookie PSA 10,Cale Makar,PSA 10,650.00,,,2026-08-15,cardladder.com sold comps,"[NHL] Norris-caliber, always liquid."
2019-20 Upper Deck Young Guns Nick Suzuki Rookie PSA 10,Nick Suzuki,PSA 10,440.90,,,2026-08-15,cardladder.com sold comps,"[NHL] Habs captain, deep playoff run boosted demand."
2024-25 Upper Deck Young Guns Ivan Demidov Rookie PSA 10,Ivan Demidov,PSA 10,260.00,,,2026-08-15,pregradecards.com price range,[NHL] 2026 Calder finalist.
2025-26 Upper Deck Young Guns Porter Martone Rookie PSA 10,Porter Martone,PSA 10,220.00,,,2026-08-15,web search estimate (verify before relying on this),[NHL] Elite points-per-game rookie debut with Flyers.
2013-14 Upper Deck Young Guns Nathan MacKinnon Rookie PSA 10,Nathan MacKinnon,PSA 10,220.00,,,2026-08-15,web search estimate (verify before relying on this),[NHL] Perennial elite scorer.
2023-24 Upper Deck Young Guns Adam Fantilli Rookie PSA 10,Adam Fantilli,PSA 10,200.00,,,2026-08-15,pregradecards.com price range,[NHL] Young Blue Jackets center.
2020-21 Upper Deck Young Guns Kirill Kaprizov Rookie PSA 10,Kirill Kaprizov,PSA 10,200.00,,,2026-08-15,cardladder.com sold comps,[NHL] New 8yr/$136M deal stabilized long-term demand.
2015-16 Upper Deck Young Guns Jack Eichel Rookie PSA 10,Jack Eichel,PSA 10,167.48,,,2026-08-15,cardladder.com sold comps,[NHL] 2026 Stanley Cup Final run with Golden Knights.
2025-26 Upper Deck Young Guns Michael Misa Rookie PSA 10,Michael Misa,PSA 10,150.00,,,2026-08-15,web search estimate (verify before relying on this),[NHL] 2025 #2 overall pick.
2024-25 Upper Deck Young Guns David Reinbacher Rookie PSA 10,David Reinbacher,PSA 10,100.00,,,2026-08-15,pregradecards.com price range,[NHL] Canadiens defense prospect.
2019-20 Upper Deck Young Guns Jack Hughes Rookie PSA 10,Jack Hughes,PSA 10,180.00,,,2026-08-15,web search estimate (verify before relying on this),[NHL] Devils superstar center.
2024 Panini Prizm Caitlin Clark Rookie PSA 10,Caitlin Clark,PSA 10,275.00,,,2026-08-15,sportscardspro price guide,"[WNBA] Still the #1 name in the hobby, driving the entire WNBA card boom."
2025 Panini Prizm WNBA Paige Bueckers Rookie PSA 10,Paige Bueckers,PSA 10,153.50,,,2026-08-15,sportscardspro price guide,"[WNBA] 2nd-year All-Star, rookie card demand still very strong."
2026 Panini Instant WNBA Olivia Miles Draft Night Rookie PSA 10,Olivia Miles,PSA 10,488.00,,,2026-08-15,"sportscardspro price guide (thin pop, verify before relying on this)",[WNBA] 2026 ROY frontrunner.
